t,Goal Position,Actual Position,Actual Velocity
0.03486490249633789,2650,2650,0
0.0508427619934082,2650,2650,0
0.06685376167297363,2650,2650,0
0.08272576332092285,2650,2650,0
0.09872007369995117,2650,2650,0
0.11469388008117676,2650,2650,0
0.13070893287658691,2650,2650,0
0.14670896530151367,2650,2650,0
0.16275882720947266,2650,2650,0
0.17873573303222656,2650,2650,0
0.19478201866149902,2650,2650,0
0.21084380149841309,2650,2650,0
0.22697710990905762,2650,2650,0
0.24278712272644043,2650,2650,0
0.2587859630584717,2650,2650,0
0.2748119831085205,2650,2650,0
0.29084205627441406,2650,2650,0
0.30683183670043945,2650,2650,0
0.32279086112976074,2650,2650,0
0.3387258052825928,2650,2650,0
0.3547687530517578,2650,2650,0
0.3706839084625244,2650,2650,0
0.3867650032043457,2650,2650,0
0.4027388095855713,2650,2650,0
0.41878390312194824,2650,2650,0
0.43472886085510254,2650,2650,0
0.4667699337005615,2640,2650,0
0.48286008834838867,2640,2650,0
0.49889683723449707,2640,2649,0
0.5149259567260742,2640,2649,0
0.5309197902679443,2640,2649,0
0.5468180179595947,2640,2647,-1
0.5627849102020264,2640,2646,-2
0.5788238048553467,2640,2644,-3
0.5947468280792236,2640,2643,-4
0.610659122467041,2640,2642,-5
0.6267540454864502,2640,2641,-5
0.6427340507507324,2640,2641,-4
0.6589901447296143,2640,2640,-4
0.6748621463775635,2640,2640,-2
0.6909749507904053,2640,2640,-1
0.7069289684295654,2640,2640,-1
0.7227299213409424,2640,2640,0
0.7387449741363525,2640,2640,0
0.7548098564147949,2640,2640,0
0.770831823348999,2640,2640,0
0.7866759300231934,2640,2640,0
0.8027670383453369,2640,2640,0
0.8187069892883301,2640,2640,0
0.8347539901733398,2640,2640,0
0.850830078125,2640,2640,0
0.8668520450592041,2640,2640,0
0.8988258838653564,2540,2640,0
0.9147999286651611,2540,2640,0
0.9309649467468262,2540,2640,0
0.9468069076538086,2540,2639,0
0.9627771377563477,2540,2638,0
0.9787478446960449,2540,2637,-1
0.9947550296783447,2540,2637,-2
1.0107300281524658,2540,2635,-3
1.0268218517303467,2540,2634,-4
1.0430641174316406,2540,2631,-4
1.0587780475616455,2540,2630,-5
1.0748789310455322,2540,2627,-6
1.0908329486846924,2540,2624,-7
1.107050895690918,2540,2621,-8
1.1226868629455566,2540,2618,-9
1.1388089656829834,2540,2615,-11
1.1546947956085205,2540,2611,-11
1.1706969738006592,2540,2607,-12
1.1867289543151855,2540,2602,-14
1.2027709484100342,2540,2598,-15
1.2186980247497559,2540,2592,-17
1.2346348762512207,2540,2587,-18
1.2506680488586426,2540,2582,-19
1.2665750980377197,2540,2577,-19
1.282891035079956,2540,2573,-20
1.2988269329071045,2540,2568,-20
1.3147058486938477,2540,2564,-19
1.3467369079589844,2554,2557,-16
1.363598108291626,2554,2554,-15
1.378829002380371,2554,2551,-14
1.3948237895965576,2554,2549,-13
1.4109890460968018,2554,2547,-11
1.4266438484191895,2554,2547,-9
1.4426770210266113,2554,2547,-7
1.4586098194122314,2554,2547,-4
1.474668025970459,2554,2547,-2
1.4908459186553955,2554,2547,0
1.5068097114562988,2554,2548,0
1.5226929187774658,2554,2549,1
1.5387399196624756,2554,2550,2
1.5550520420074463,2554,2551,3
1.5708858966827393,2554,2552,3
1.5868439674377441,2554,2552,3
1.6027231216430664,2554,2553,3
1.618786096572876,2554,2553,2
1.6346087455749512,2554,2553,1
1.6507399082183838,2554,2553,0
1.6666538715362549,2554,2553,0
1.6826608180999756,2554,2553,0
1.698734998703003,2554,2553,0
1.7149639129638672,2554,2553,0
1.7307467460632324,2554,2553,0
1.746795892715454,2554,2553,0
1.7786879539489746,2543,2553,0
1.794767141342163,2543,2552,0
1.8108079433441162,2543,2553,0
1.8267669677734375,2543,2552,0
1.8426177501678467,2543,2553,0
1.8585960865020752,2543,2553,0
1.8746979236602783,2543,2552,0
1.8907098770141602,2543,2551,-1
1.9067120552062988,2543,2548,-2
1.9227120876312256,2543,2547,-3
1.9386920928955078,2543,2546,-5
1.954658031463623,2543,2544,-5
1.9708290100097656,2543,2544,-5
1.9868311882019043,2543,2544,-4
2.0028138160705566,2543,2544,-3
2.0188400745391846,2543,2544,-1
2.034701108932495,2543,2544,0
2.0507078170776367,2543,2545,0
2.0666680335998535,2543,2544,0
2.082758903503418,2543,2544,0
2.098724126815796,2543,2544,0
2.114763021469116,2543,2544,0
2.1306569576263428,2543,2544,0
2.146677017211914,2543,2544,0
2.162660837173462,2543,2544,0
2.1786627769470215,2543,2544,0
2.194783926010132,2543,2544,0
2.2266509532928467,2534,2544,0
2.242661952972412,2534,2544,0
2.258584976196289,2534,2542,0
2.274590015411377,2534,2542,-1
2.290599822998047,2534,2541,-2
2.3065438270568848,2534,2540,-2
2.3227200508117676,2534,2539,-3
2.338681936264038,2534,2538,-3
2.354691982269287,2534,2536,-3
2.370661973953247,2534,2535,-4
2.3867220878601074,2534,2535,-4
2.4027509689331055,2534,2535,-3
2.4187698364257812,2534,2535,-2
2.4347598552703857,2534,2535,-1
2.4507508277893066,2534,2535,0
2.466618776321411,2534,2535,0
2.482494831085205,2534,2535,0
2.498490810394287,2534,2535,0
2.514583110809326,2534,2535,0
2.5306689739227295,2534,2535,0
2.5466959476470947,2534,2535,0
2.5626580715179443,2534,2535,0
2.5787458419799805,2534,2535,0
2.5946717262268066,2534,2535,0
2.610672950744629,2534,2535,0
2.626723051071167,2534,2535,0
2.658655881881714,2335,2535,0
2.6747000217437744,2335,2535,0
2.6906590461730957,2335,2534,0
2.7066969871520996,2335,2533,-1
2.72257399559021,2335,2532,-2
2.738830089569092,2335,2532,-2
2.754783868789673,2335,2531,-2
2.7708239555358887,2335,2529,-3
2.7867467403411865,2335,2527,-3
2.8028337955474854,2335,2526,-4
2.8187880516052246,2335,2523,-6
2.8346450328826904,2335,2521,-7
2.850611925125122,2335,2518,-8
2.8666670322418213,2335,2515,-9
2.8826119899749756,2335,2512,-9
2.898703098297119,2335,2509,-11
2.914605140686035,2335,2505,-12
2.930807113647461,2335,2500,-13
2.9467289447784424,2335,2496,-14
2.9626269340515137,2335,2491,-15
2.978641986846924,2335,2486,-17
2.9947519302368164,2335,2480,-18
3.010694980621338,2335,2475,-19
3.026815891265869,2335,2468,-21
3.042649030685425,2335,2462,-22
3.0587120056152344,2335,2455,-23
3.074631929397583,2335,2449,-24
3.1066839694976807,2204,2434,-26
3.1226348876953125,2204,2427,-27
3.138683795928955,2204,2418,-28
3.1547319889068604,2204,2411,-29
3.1709530353546143,2204,2403,-30
3.1868858337402344,2204,2396,-30
3.2028698921203613,2204,2389,-30
3.218778133392334,2204,2382,-29
3.2347068786621094,2204,2375,-29
3.2507450580596924,2204,2368,-28
3.2666218280792236,2204,2361,-28
3.282572031021118,2204,2354,-28
3.2985520362854004,2204,2347,-28
3.314605951309204,2204,2340,-27
3.3305327892303467,2204,2332,-27
3.3466579914093018,2204,2326,-27
3.3626978397369385,2204,2319,-27
3.3787131309509277,2204,2312,-27
3.3947389125823975,2204,2305,-27
3.4107799530029297,2204,2298,-27
3.426596164703369,2204,2292,-27
3.442600965499878,2204,2285,-27
3.4585928916931152,2204,2279,-26
3.4745869636535645,2204,2272,-26
3.490731954574585,2204,2266,-26
3.50665283203125,2204,2260,-25
3.538586139678955,2250,2249,-24
3.5546507835388184,2250,2243,-23
3.5706899166107178,2250,2238,-22
3.586695909500122,2250,2234,-21
3.6027610301971436,2250,2230,-20
3.618699073791504,2250,2226,-18
3.6346681118011475,2250,2223,-16
3.650670051574707,2250,2222,-14
3.6666970252990723,2250,2221,-12
3.682650089263916,2250,2220,-9
3.698654890060425,2250,2220,-6
3.714613914489746,2250,2221,-3
3.7305569648742676,2250,2222,-1
3.746530055999756,2250,2225,1
3.7626070976257324,2250,2227,4
3.7791857719421387,2250,2230,6
3.7947239875793457,2250,2232,8
3.8107540607452393,2250,2234,8
3.8266727924346924,2250,2237,9
3.8427021503448486,2250,2240,9
3.858582019805908,2250,2242,9
3.8745949268341064,2250,2244,9
3.8906259536743164,2250,2246,9
3.906723976135254,2250,2247,8
3.922623872756958,2250,2248,7
3.9385368824005127,2250,2249,5
3.9544949531555176,2250,2249,4
3.9865200519561768,2209,2249,2
4.002568960189819,2209,2249,1
4.018558979034424,2209,2249,0
4.034660816192627,2209,2249,0
4.050781011581421,2209,2248,0
4.066688060760498,2209,2249,0
4.082669019699097,2209,2247,0
4.098675012588501,2209,2246,-1
4.11459493637085,2209,2243,-3
4.130621910095215,2209,2241,-5
4.146604061126709,2209,2239,-6
4.162609815597534,2209,2236,-8
4.178552150726318,2209,2233,-9
4.194522142410278,2209,2231,-9
4.210490942001343,2209,2227,-10
4.22657585144043,2209,2224,-11
4.242535829544067,2209,2221,-11
4.258542060852051,2209,2219,-12
4.2745959758758545,2209,2216,-11
4.290747880935669,2209,2214,-11
4.306696891784668,2209,2212,-10
4.322643995285034,2209,2211,-8
4.338742971420288,2209,2210,-7
4.354768753051758,2209,2210,-5
4.370473861694336,2209,2210,-3
4.386542081832886,2209,2210,-2
4.418619871139526,2160,2210,0
4.434835910797119,2160,2209,0
4.45078182220459,2160,2209,0
4.466663837432861,2160,2207,-1
4.482669115066528,2160,2206,-1
4.498654842376709,2160,2206,-2
4.514689922332764,2160,2204,-2
4.530526876449585,2160,2203,-3
4.546568870544434,2160,2202,-4
4.562562942504883,2160,2199,-5
4.5785839557647705,2160,2197,-6
4.594577789306641,2160,2195,-6
4.610553026199341,2160,2192,-7
4.626483917236328,2160,2190,-8
4.642626047134399,2160,2186,-9
4.658675909042358,2160,2183,-11
4.674554824829102,2160,2180,-11
4.690603017807007,2160,2177,-12
4.706624984741211,2160,2174,-12
4.722718000411987,2160,2171,-12
4.738703727722168,2160,2168,-11
4.75468897819519,2160,2166,-11
4.7706298828125,2160,2164,-10
4.786530017852783,2160,2162,-9
4.802475929260254,2160,2161,-8
4.818464994430542,2160,2161,-6
4.834496974945068,2160,2161,-5
4.866626977920532,2021,2161,-1
4.88261604309082,2021,2160,0
4.898613929748535,2021,2159,-1
4.914654970169067,2021,2159,-1
4.930505037307739,2021,2158,-2
4.946707010269165,2021,2157,-2
4.9625537395477295,2021,2155,-3
4.9785590171813965,2021,2154,-3
4.994544982910156,2021,2152,-4
5.010529041290283,2021,2150,-5
5.026510953903198,2021,2148,-6
5.042382001876831,2021,2146,-7
5.05862283706665,2021,2143,-8
5.074594020843506,2021,2139,-9
5.0906219482421875,2021,2136,-10
5.106651782989502,2021,2132,-12
5.122699022293091,2021,2128,-13
5.138768911361694,2021,2124,-14
5.155796051025391,2021,2119,-15
5.170622825622559,2021,2115,-16
5.186554908752441,2021,2109,-17
5.202449798583984,2021,2104,-18
5.2184319496154785,2021,2098,-20
5.234442949295044,2021,2092,-21
5.250565767288208,2021,2086,-22
5.266543865203857,2021,2079,-23
5.298666000366211,1834,2068,-23
5.314594984054565,1834,2062,-22
5.330536842346191,1834,2057,-22
5.3465211391448975,1834,2052,-21
5.3625359535217285,1834,2047,-21
5.378767728805542,1834,2041,-21
5.394617795944214,1834,2036,-21
5.4105799198150635,1834,2031,-21
5.42656683921814,1834,2026,-21
5.442544937133789,1834,2021,-20
5.4584808349609375,1834,2016,-20
5.474632978439331,1834,2011,-20
5.490602016448975,1834,2005,-20
5.50658106803894,1834,1999,-20
5.522677898406982,1834,1993,-21
5.5387818813323975,1834,1987,-22
5.554671764373779,1834,1981,-22
5.570566892623901,1834,1975,-23
5.586431980133057,1834,1969,-23
5.602575778961182,1834,1963,-23
5.6184539794921875,1834,1956,-24
5.6344828605651855,1834,1949,-24
5.650548934936523,1834,1942,-25
5.666456937789917,1834,1936,-25
5.682490825653076,1834,1928,-26
5.698604106903076,1834,1921,-26
5.714591026306152,1834,1915,-26
5.746916770935059,1670,1902,-26
5.762691974639893,1670,1895,-26
5.778617858886719,1670,1888,-26
5.794605016708374,1670,1882,-26
5.810637950897217,1670,1876,-26
5.826529026031494,1670,1870,-26
5.842423915863037,1670,1864,-25
5.8584089279174805,1670,1858,-25
5.874450922012329,1670,1852,-24
5.890458822250366,1670,1846,-24
5.906588792800903,1670,1840,-24
5.922775030136108,1670,1834,-24
5.938508033752441,1670,1827,-24
5.954526901245117,1670,1821,-24
5.970842123031616,1670,1814,-24
5.986562013626099,1670,1808,-24
6.002540111541748,1670,1802,-24
6.018527984619141,1670,1795,-24
6.034493923187256,1670,1789,-25
6.050477981567383,1670,1782,-25
6.066543817520142,1670,1776,-25
6.082444906234741,1670,1769,-25
6.098493814468384,1670,1762,-26
6.114497900009155,1670,1755,-26
6.130469799041748,1670,1748,-26
6.1464760303497314,1670,1742,-26
6.178707838058472,1732,1730,-25
6.19451904296875,1732,1723,-25
6.210519075393677,1732,1718,-24
6.226531028747559,1732,1713,-23
6.242490768432617,1732,1708,-22
6.258413076400757,1732,1704,-21
6.274427890777588,1732,1701,-19
6.290415048599243,1732,1699,-17
6.30660605430603,1732,1695,-14
6.322551965713501,1732,1694,-12
6.338469743728638,1732,1694,-9
6.354475975036621,1732,1694,-6
6.370465040206909,1732,1694,-3
6.386542081832886,1732,1697,-1
6.402552127838135,1732,1699,0
6.41856575012207,1732,1702,3
6.434561014175415,1732,1706,6
6.4504759311676025,1732,1709,9
6.466385841369629,1732,1712,11
6.482396841049194,1732,1715,12
6.498450994491577,1732,1718,12
6.514569044113159,1732,1721,12
6.530518054962158,1732,1723,12
6.546478986740112,1732,1726,11
6.562502861022949,1732,1727,10
6.578646898269653,1732,1728,8
6.594587802886963,1732,1729,7
6.626455068588257,1719,1731,4
6.64258885383606,1719,1731,4
6.65838098526001,1719,1731,2
6.674391984939575,1719,1730,1
6.690449953079224,1719,1731,0
6.706433057785034,1719,1731,0
6.7224719524383545,1719,1730,0
6.738523960113525,1719,1730,0
6.754590034484863,1719,1727,-1
6.770616054534912,1719,1726,-3
6.786543846130371,1719,1723,-5
6.802617788314819,1719,1722,-6
6.818493843078613,1719,1721,-6
6.834496974945068,1719,1721,-5
6.850494861602783,1719,1721,-4
6.866379976272583,1719,1720,-3
6.882457971572876,1719,1720,-2
6.898360013961792,1719,1720,-1
6.914423942565918,1719,1720,0
6.930447816848755,1719,1721,0
6.946415901184082,1719,1721,0
6.962415933609009,1719,1720,0
6.9784629344940186,1719,1720,0
6.994534969329834,1719,1720,0
7.010556936264038,1719,1720,0
7.026612997055054,1719,1720,0
7.058651924133301,1710,1720,0
7.074580907821655,1710,1720,0
7.090447187423706,1710,1719,0
7.106380939483643,1710,1718,0
7.122440814971924,1710,1717,-1
7.13846492767334,1710,1717,-2
7.154420852661133,1710,1716,-3
7.17039680480957,1710,1714,-3
7.186513900756836,1710,1713,-4
7.20249605178833,1710,1712,-4
7.21851110458374,1710,1711,-4
7.234466075897217,1710,1711,-3
7.250591993331909,1710,1711,-2
7.266541004180908,1710,1711,-1
7.282440900802612,1710,1711,0
7.298454999923706,1710,1711,0
7.314407825469971,1710,1711,0
7.330335855484009,1710,1711,0
7.346462965011597,1710,1711,0
7.362546920776367,1710,1711,0
7.378582954406738,1710,1712,0
7.394540071487427,1710,1711,0
7.410528898239136,1710,1711,0
7.426497936248779,1710,1711,0
7.442394018173218,1710,1711,0
7.458383798599243,1710,1711,0
7.474469900131226,1710,1711,0
